1,1,distrito  1,1,pan,4036
2,2,distrito  2,1,pan,6517
3,3,distrito  3,1,pan,3377
4,4,distrito  4,1,pan,3197
5,5,distrito  5,1,pan,1475
6,6,distrito  6,1,pan,3246
7,7,distrito  7,1,pan,2318
8,8,distrito  8,1,pan,3118
9,9,distrito  9,1,pan,763
10,10,distrito  10,1,pan,5842
11,11,distrito  11,1,pan,1893
12,12,distrito  12,1,pan,2352
13,13,distrito  13,1,pan,6494
14,14,distrito  14,1,pan,10464
15,15,distrito  15,1,pan,375
16,16,distrito  16,1,pan,1526
17,17,distrito  17,1,pan,6018
18,18,distrito  18,1,pan,2394
19,1,distrito  1,2,pri,7915
20,2,distrito  2,2,pri,6123
21,3,distrito  3,2,pri,7080
22,4,distrito  4,2,pri,8136
23,5,distrito  5,2,pri,7916
24,6,distrito  6,2,pri,8668
25,7,distrito  7,2,pri,9287
26,8,distrito  8,2,pri,10173
27,9,distrito  9,2,pri,6626
28,10,distrito  10,2,pri,8796
29,11,distrito  11,2,pri,5479
30,12,distrito  12,2,pri,11529
31,13,distrito  13,2,pri,6323
32,14,distrito  14,2,pri,7350
33,15,distrito  15,2,pri,18951
34,16,distrito  16,2,pri,5001
35,17,distrito  17,2,pri,9470
36,18,distrito  18,2,pri,7362
37,1,distrito  1,3,prd,881
38,2,distrito  2,3,prd,1335
39,3,distrito  3,3,prd,943
40,4,distrito  4,3,prd,894
41,5,distrito  5,3,prd,631
42,6,distrito  6,3,prd,915
43,7,distrito  7,3,prd,5143
44,8,distrito  8,3,prd,3042
45,9,distrito  9,3,prd,552
46,10,distrito  10,3,prd,584
47,11,distrito  11,3,prd,6050
48,12,distrito  12,3,prd,951
49,13,distrito  13,3,prd,909
50,14,distrito  14,3,prd,2144
51,15,distrito  15,3,prd,374
52,16,distrito  16,3,prd,5866
53,17,distrito  17,3,prd,344
54,18,distrito  18,3,prd,1058
55,1,distrito  1,4,pt,2326
56,2,distrito  2,4,pt,1533
57,3,distrito  3,4,pt,4004
58,4,distrito  4,4,pt,2844
59,5,distrito  5,4,pt,2216
60,6,distrito  6,4,pt,1863
61,7,distrito  7,4,pt,1974
62,8,distrito  8,4,pt,5036
63,9,distrito  9,4,pt,8445
64,10,distrito  10,4,pt,794
65,11,distrito  11,4,pt,1888
66,12,distrito  12,4,pt,5607
67,13,distrito  13,4,pt,2960
68,14,distrito  14,4,pt,1785
69,15,distrito  15,4,pt,2433
70,16,distrito  16,4,pt,3883
71,17,distrito  17,4,pt,1108
72,18,distrito  18,4,pt,3528
73,1,distrito  1,5,pvem,1711
74,2,distrito  2,5,pvem,2209
75,3,distrito  3,5,pvem,1567
76,4,distrito  4,5,pvem,1646
77,5,distrito  5,5,pvem,685
78,6,distrito  6,5,pvem,888
79,7,distrito  7,5,pvem,935
80,8,distrito  8,5,pvem,811
81,9,distrito  9,5,pvem,262
82,10,distrito  10,5,pvem,1344
83,11,distrito  11,5,pvem,4333
84,12,distrito  12,5,pvem,1783
85,13,distrito  13,5,pvem,685
86,14,distrito  14,5,pvem,1931
87,15,distrito  15,5,pvem,461
88,16,distrito  16,5,pvem,4418
89,17,distrito  17,5,pvem,1313
90,18,distrito  18,5,pvem,242
91,1,distrito  1,6,mc,0
92,2,distrito  2,6,mc,0
93,3,distrito  3,6,mc,0
94,4,distrito  4,6,mc,0
95,5,distrito  5,6,mc,0
96,6,distrito  6,6,mc,0
97,7,distrito  7,6,mc,0
98,8,distrito  8,6,mc,0
99,9,distrito  9,6,mc,0
100,10,distrito  10,6,mc,0
101,11,distrito  11,6,mc,0
102,12,distrito  12,6,mc,0
103,13,distrito  13,6,mc,0
104,14,distrito  14,6,mc,0
105,15,distrito  15,6,mc,0
106,16,distrito  16,6,mc,0
107,17,distrito  17,6,mc,0
108,18,distrito  18,6,mc,0
109,1,distrito  1,7,morena,12199
110,2,distrito  2,7,morena,11084
111,3,distrito  3,7,morena,12685
112,4,distrito  4,7,morena,13637
113,5,distrito  5,7,morena,12147
114,6,distrito  6,7,morena,14362
115,7,distrito  7,7,morena,12583
116,8,distrito  8,7,morena,8911
117,9,distrito  9,7,morena,9328
118,10,distrito  10,7,morena,10289
119,11,distrito  11,7,morena,12289
120,12,distrito  12,7,morena,7315
121,13,distrito  13,7,morena,10223
122,14,distrito  14,7,morena,14010
123,15,distrito  15,7,morena,16600
124,16,distrito  16,7,morena,10211
125,17,distrito  17,7,morena,8833
126,18,distrito  18,7,morena,10362
127,1,distrito  1,8,panal,663
128,2,distrito  2,8,panal,825
129,3,distrito  3,8,panal,1298
130,4,distrito  4,8,panal,3517
131,5,distrito  5,8,panal,1307
132,6,distrito  6,8,panal,575
133,7,distrito  7,8,panal,579
134,8,distrito  8,8,panal,992
135,9,distrito  9,8,panal,1903
136,10,distrito  10,8,panal,777
137,11,distrito  11,8,panal,1996
138,12,distrito  12,8,panal,12610
139,13,distrito  13,8,panal,927
140,14,distrito  14,8,panal,653
141,15,distrito  15,8,panal,1270
142,16,distrito  16,8,panal,1342
143,17,distrito  17,8,panal,3832
144,18,distrito  18,8,panal,488
