id,distritos_id,entidades_id,seccion,tipossecciones_id,distritosfederales_id,municipios_id
,1,32,1820,1,3,56
,1,32,1841,1,3,56
,1,32,1845,1,3,56
,1,32,1846,1,3,56
,1,32,1847,1,3,56
,1,32,1848,1,3,56
,1,32,1849,1,3,56
,1,32,1850,1,3,56
,1,32,1851,1,3,56
,1,32,1852,1,3,56
,1,32,1853,1,3,56
,1,32,1859,1,3,56
,1,32,1860,1,3,56
,1,32,1862,1,3,56
,1,32,1863,1,3,56
,1,32,1864,1,3,56
,1,32,1865,1,3,56
,1,32,1866,1,3,56
,1,32,1867,1,3,56
,1,32,1868,1,3,56
,1,32,1871,2,3,56
,1,32,1872,2,3,56
,1,32,1873,2,3,56
,1,32,1874,3,3,56
,1,32,1875,2,3,56
,1,32,1876,2,3,56
,1,32,1877,2,3,56
,1,32,1878,2,3,56
,1,32,1879,2,3,56
,1,32,1880,2,3,56
,1,32,1881,2,3,56
,1,32,1882,2,3,56
,1,32,1914,3,3,56
,1,32,1915,3,3,56
,1,32,1916,1,3,56
,1,32,1917,1,3,56
,1,32,1918,1,3,56
,1,32,1919,3,3,56
,1,32,1920,1,3,56
,1,32,1921,1,3,56
,1,32,1922,1,3,56
,1,32,1923,1,3,56
,1,32,1924,1,3,56
,1,32,1925,3,3,56
,1,32,1926,1,3,56
,2,32,1601,3,3,50
,2,32,1602,3,3,50
,2,32,1603,2,3,50
,2,32,1604,2,3,50
,2,32,1605,2,3,50
,2,32,1606,2,3,50
,2,32,1607,3,3,50
,2,32,1608,1,3,50
,2,32,1772,3,3,56
,2,32,1773,1,3,56
,2,32,1774,3,3,56
,2,32,1775,1,3,56
,2,32,1776,1,3,56
,2,32,1777,1,3,56
,2,32,1778,1,3,56
,2,32,1779,1,3,56
,2,32,1780,1,3,56
,2,32,1781,1,3,56
,2,32,1782,1,3,56
,2,32,1783,1,3,56
,2,32,1784,1,3,56
,2,32,1785,1,3,56
,2,32,1786,1,3,56
,2,32,1787,1,3,56
,2,32,1788,1,3,56
,2,32,1789,1,3,56
,2,32,1790,1,3,56
,2,32,1791,1,3,56
,2,32,1792,1,3,56
,2,32,1793,1,3,56
,2,32,1794,1,3,56
,2,32,1795,1,3,56
,2,32,1796,1,3,56
,2,32,1797,1,3,56
,2,32,1798,1,3,56
,2,32,1799,1,3,56
,2,32,1800,1,3,56
,2,32,1801,1,3,56
,2,32,1802,1,3,56
,2,32,1803,1,3,56
,2,32,1804,1,3,56
,2,32,1805,1,3,56
,2,32,1806,1,3,56
,2,32,1807,1,3,56
,2,32,1808,1,3,56
,2,32,1809,1,3,56
,2,32,1810,1,3,56
,2,32,1811,1,3,56
,2,32,1812,1,3,56
,2,32,1813,1,3,56
,2,32,1814,1,3,56
,2,32,1815,1,3,56
,2,32,1816,1,3,56
,2,32,1817,1,3,56
,2,32,1818,1,3,56
,2,32,1819,1,3,56
,2,32,1821,1,3,56
,2,32,1822,1,3,56
,2,32,1823,1,3,56
,2,32,1824,1,3,56
,2,32,1825,1,3,56
,2,32,1826,1,3,56
,2,32,1827,1,3,56
,2,32,1828,1,3,56
,2,32,1829,1,3,56
,2,32,1830,1,3,56
,2,32,1831,1,3,56
,2,32,1832,1,3,56
,2,32,1833,1,3,56
,2,32,1834,1,3,56
,2,32,1835,1,3,56
,2,32,1836,1,3,56
,2,32,1837,1,3,56
,2,32,1838,1,3,56
,2,32,1839,1,3,56
,2,32,1840,1,3,56
,2,32,1842,1,3,56
,2,32,1843,1,3,56
,2,32,1844,1,3,56
,2,32,1854,1,3,56
,2,32,1855,1,3,56
,2,32,1856,1,3,56
,2,32,1857,1,3,56
,2,32,1858,1,3,56
,2,32,1861,1,3,56
,3,32,460,1,4,17
,3,32,461,1,4,17
,3,32,462,1,4,17
,3,32,463,1,4,17
,3,32,464,1,4,17
,3,32,465,1,4,17
,3,32,466,1,4,17
,3,32,467,1,4,17
,3,32,468,1,4,17
,3,32,469,1,4,17
,3,32,471,1,4,17
,3,32,472,1,4,17
,3,32,473,1,4,17
,3,32,474,1,4,17
,3,32,475,1,4,17
,3,32,476,1,4,17
,3,32,477,1,4,17
,3,32,478,1,4,17
,3,32,479,1,4,17
,3,32,480,1,4,17
,3,32,481,1,4,17
,3,32,482,1,4,17
,3,32,483,1,4,17
,3,32,484,1,4,17
,3,32,485,1,4,17
,3,32,486,1,4,17
,3,32,487,1,4,17
,3,32,488,1,4,17
,3,32,489,1,4,17
,3,32,490,1,4,17
,3,32,492,1,4,17
,3,32,493,1,4,17
,3,32,494,1,4,17
,3,32,495,1,4,17
,3,32,496,1,4,17
,3,32,497,1,4,17
,3,32,498,1,4,17
,3,32,499,1,4,17
,3,32,500,1,4,17
,3,32,501,1,4,17
,3,32,502,1,4,17
,3,32,503,1,4,17
,3,32,504,1,4,17
,3,32,505,1,4,17
,3,32,508,1,4,17
,3,32,509,1,4,17
,3,32,510,1,4,17
,3,32,1927,3,4,17
,3,32,1928,1,4,17
,3,32,1929,1,4,17
,3,32,1930,1,4,17
,3,32,1931,1,4,17
,3,32,1932,1,4,17
,3,32,1933,1,4,17
,3,32,1934,1,4,17
,3,32,1935,1,4,17
,3,32,1936,1,4,17
,4,32,511,2,4,17
,4,32,512,2,4,17
,4,32,513,1,4,17
,4,32,514,3,4,17
,4,32,515,2,4,17
,4,32,517,2,4,17
,4,32,518,3,4,17
,4,32,519,1,4,17
,4,32,520,3,4,17
,4,32,521,1,4,17
,4,32,522,1,4,17
,4,32,523,1,4,17
,4,32,524,3,4,17
,4,32,534,2,4,17
,4,32,535,2,4,17
,4,32,546,2,4,17
,4,32,547,2,4,17
,4,32,1883,1,4,17
,4,32,1884,1,4,17
,4,32,1885,1,4,17
,4,32,1886,1,4,17
,4,32,1887,1,4,17
,4,32,1888,1,4,17
,4,32,1889,1,4,17
,4,32,1890,1,4,17
,4,32,1891,1,4,17
,4,32,1892,1,4,17
,4,32,1893,1,4,17
,4,32,1894,1,4,17
,4,32,1895,1,4,17
,4,32,1896,1,4,17
,4,32,1897,1,4,17
,4,32,1898,1,4,17
,4,32,1899,1,4,17
,4,32,1900,1,4,17
,4,32,1901,1,4,17
,4,32,1902,1,4,17
,4,32,1903,1,4,17
,4,32,1904,1,4,17
,4,32,1905,1,4,17
,4,32,1906,1,4,17
,4,32,1907,1,4,17
,4,32,1908,1,4,17
,4,32,1942,2,4,17
,4,32,1943,1,4,17
,4,32,1944,1,4,17
,4,32,1945,1,4,17
,4,32,1946,1,4,17
,4,32,1947,1,4,17
,4,32,1948,1,4,17
,4,32,516,2,4,57
,4,32,525,2,4,57
,4,32,526,2,4,57
,4,32,527,3,4,57
,4,32,528,3,4,57
,4,32,529,1,4,57
,4,32,530,3,4,57
,4,32,531,1,4,57
,4,32,532,1,4,57
,4,32,533,1,4,57
